"posts";"forum_id";"thread_id";"title";"url"
22340;193157;1783471535;"Gunmen open fire at mall in Nairobi ";"http://www.cnn.com/2013/09/21/world/africa/kenya-mall-gunbattle/index.html"
2022;193157;1770819777;"Brazil's president cancels U.S. state visit over spying";"http://www.cnn.com/2013/09/17/world/americas/brazil-us/index.html"
175;193157;1765787736;"A weakened Ingrid makes landfall in Mexico";"http://www.cnn.com/2013/09/16/world/americas/tropical-weather/index.html"
214;193157;1785233139;"Mall attack should be no shock: Kenya, Westerners high on Al-Shabaab's list";"http://www.cnn.com/2013/09/21/opinion/al-shabaab-aims/index.html"
411;193157;1782521376;"Michael Jackson's mother has standing to collect damages, judge rules";"http://www.cnn.com/2013/09/20/showbiz/michael-jackson-death-trial/index.html"
716;193157;1781486217;"Shutdown threat imperils immigration reform ";"http://www.cnn.com/2013/09/20/politics/shutdown-threat-immigration-reform/index.html"
245;193157;1746355178;"Tell a brown girl she's pretty, dreadlocks and all";"http://www.cnn.com/2013/09/10/living/identity-opinion-yaba-blay-dreadlocks-brown-girl/index.html"
167;193157;1785226536;"Facing shortages, Venezuela takes over toilet paper factory";"http://www.cnn.com/2013/09/21/world/americas/venezuela-toilet-paper/index.html"
513;193157;1767109447;"Miley and Liam: The engagement's off";"http://www.cnn.com/2013/09/16/showbiz/celebrity-news-gossip/miley-cyrus-liam-hemsworth-end-engagement/index.html"
12907;193157;1755550571;"Gun lunacy rides high in America";"http://www.cnn.com/2013/09/13/opinion/donohue-gun-control/index.html"
4556;193157;1786604661;"Hillary Clinton on possible presidency: 'I'm realistic'";"http://www.cnn.com/2013/09/22/politics/hillary-clinton-magazine-interview/index.html"
1110;193157;1751364550;"Flooding in Colorado kills 1";"http://www.cnn.com/2013/09/12/us/flooding-colorado/index.html"
341;193157;1749670203;"Missouri man gets 20 years for keeping young woman as sex slave";"http://www.cnn.com/2013/09/11/justice/missouri-sex-slave-sentence/index.html"
1400;193157;1765773005;"Gingrich: Remember, Vladimir Putin is not an American";"http://www.cnn.com/2013/09/16/opinion/gingrich-putin-history/index.html"
9933;193157;1778826937;"John Kerry calls Iranian president's nuclear remarks 'very positive'";"http://www.cnn.com/2013/09/19/world/meast/iran-president-nuclear/index.html"
158;193157;1765948435;"Are there differences in raising boys and girls?";"http://www.cnn.com/2013/09/16/living/parents-levs-daughter/index.html"
3542;193157;1772119955;"Man who plotted to kill and eat children gets more than 26 years in prison";"http://www.cnn.com/2013/09/17/us/cannibal-eat-children-case/index.html"
258;193157;1756839254;"Apparently This Matters: Own this amazing doomsday bunker";"http://www.cnn.com/2013/09/13/tech/social-media/apparently-this-matters-amazing-doomsday-bunker-for-sale/index.html"
1018;193157;1771879291;"No 'Take It Easy' time for man allegedly knifed over nonstop Eagles music";"http://www.cnn.com/2013/09/17/us/eagles-fan-stabbed/index.html"
949;193157;1752761426;"Pennsylvania judge orders clerk to obey same-sex marriage ban";"http://www.cnn.com/2013/09/12/us/pennsylvania-same-sex-marriage/index.html"
111;193157;1750981152;"Amnesty: Release Zambian men arrested over alleged homosexual acts ";"http://www.cnn.com/2013/09/12/world/africa/zambia-gay-arrest/index.html"
320;193157;1771968876;"Obamacare, spending showdown heats up in House";"http://www.cnn.com/2013/09/17/politics/congress-shutdown/index.html"
126;193157;1752150246;"Why we're risking arrest over immigration";"http://www.cnn.com/2013/09/12/opinion/poo-oneill-immigration-reform/index.html"
2321;193157;1771100550;"2008 arrest led to Washington Navy Yard shooter Aaron Alexis' Navy discharge";"http://www.cnn.com/2013/09/17/us/navy-yard-suspect/index.html"
